complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Classified as Flooding because the description contains 'flooded', 'underpass'. Priority is Urgent because it contains 'ambulance'.",
GH-202402,Drain Blockage,Standard,"Classified as Drain Blockage because the description contains 'drain', 'blocked'.",
GH-202406,Drain Blockage,Standard,"Classified as Drain Blockage because the description contains 'drain', 'blocked', 'stormwater'.",
GH-202407,Drain Blockage,Standard,"Classified as Drain Blockage because the description contains 'drain', 'blocked'.",
GH-202410,Pothole,Standard,Classified as Pothole because the description contains 'potholes'.,
GH-202411,Pothole,Urgent,Classified as Pothole because the description contains 'pothole'. Priority is Urgent because it contains 'hospitalised'.,
GH-202412,Pothole,Urgent,Classified as Pothole because the description contains 'potholes'. Priority is Urgent because it contains 'school'.,
GH-202417,Heritage Damage,Standard,Classified as Heritage Damage because the description contains 'heritage'.,
GH-202420,Noise,Standard,Classified as Noise because the description contains 'drilling'.,
GH-202422,Road Damage,Urgent,"Classified as Road Damage because the description contains 'collapsed', 'crater'. Priority is Urgent because it contains 'collapsed'.",
GH-202424,Flooding,Standard,Classified as Flooding because the description contains 'underpass'.,
GH-202428,Waste,Standard,Classified as Waste because the description contains 'waste'.,
GH-202432,Other,Standard,Classified as Other because the description contains 'Other'.,NEEDS_REVIEW
GH-202448,Drain Blockage,Standard,"Classified as Drain Blockage because the description contains 'drain', 'blocked'.",
GH-202438,Flooding,Standard,Classified as Flooding because the description contains 'rainwater'.,
